PAI-P,PKN-P,INDO-P,MTK-P,IPA-P,IPS-P,ING-P,SB-P,OR-P,PRA-P,MLB-P
1,0,1,0,1,1,1,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0
1,0,1,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,1,1,0,1,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,1,0,1,1,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
1,0,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,1,0,1,0
1,0,0,0,0,0,0,0,0,1,0
1,0,1,0,1,1,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,1,0
1,0,1,0,0,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,0
1,0,1,0,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,1,1,1,0
0,0,0,0,1,0,0,0,0,0,0
